Category,Name,Year,Month_only,Month-Year,Sustainedwind speeds,Deaths, Actual Dollars 
3,Irene,1931,September,"September,1931",120,48,
2,Six,1932,August,"August,1932",100,0," $419,000.00 "
1,1932 Florida–Alabama hurricane,1932,August,"August,1932",85,," $226,000.00 "
5,Bahamas,1932,September,"September,1932",160,16,
5,Camagey,1932,November,"November,1932",175,3103,
3,Rina,1932,August,"August,1932",115,,
4,San Ciprián,1932,,",1932",,,
4,Unnamed,1932,,",1932",,,
3,Sandy,1933,September,"September,1933",115,159," $79,998,500,000.00 "
1,Eighteen,1933,October,"October,1933",90,23," $3,000,000.00 "
2,One,1933,October,"October,1933",100,1," $750,000.00 "
1,1933 Florida–Mexico hurricane,1933,July,"July,1933",90,," $500,000.00 "
2,Nine,1933,July,"July,1933",110,0," $300,000.00 "
5,Cuba Brownsville,1933,August,"August,1933",160,179,
5,Tampico,1933,September,"September,1933",160,184,
4,Chesapeake,1933,August,"August,1933",,,
3,Edouard,1933,October,"October,1933",120,2,
1,Fifteen,1933,September,"September,1933",75,0,
3,Michael,1933,July,"July,1933",115,,
2,Nine,1933,September,"September,1933",100,0,
4,Outer Banks,1933,September,"September,1933",,,
4,Treasure Coast,1933,August,"August,1933",,,
2,Six,1934,August,"August,1934",100,5," $5,200,000.00 "
2,Eleven,1934,July,"July,1934",100,5," $2,000,000.00 "
3,Danny,1934,July,"July,1934",125,,
1,Five,1934,August,"August,1934",80,,
2,Four,1934,July,"July,1934",100,0,
3,Gaston,1934,July,"July,1934",115,,
3,Otto,1934,August,"August,1934",115,23,
1,Three,1934,July,"July,1934",85,,
1,Two,1934,July,"July,1934",90,0,
5,Labor Day,1935,September,"September,1935",185,408,
1,1935 hurricane,1935,October,"October,1935",85,2150,
2,Charlie,1935,October,"October,1935",110,48,
3,Lee,1935,October,"October,1935",115,,
3,Humberto,1936,August,"August,1936",125,2," $25,000,000.00 "
2,Eleven,1936,August,"August,1936",110,2," $6,700,000.00 "
2,King,1936,June,"June,1936",105,1," $3,260,000.00 "
1,Three,1936,June,"June,1936",80,," $550,000.00 "
2,One,1936,August,"August,1936",110,2," $50,000.00 "
1,Eight,1936,August,"August,1936",75,0,
1,Eleven,1936,August,"August,1936",80,0,
3,Epsilon,1936,August,"August,1936",115,1,
3,Ophelia,1936,June,"June,1936",115,3,
3,Zeta,1937,October,"October,1937",115,6," $4,743,700,000.00 "
2,Baker,1937,October,"October,1937",105,38," $2,500,000.00 "
1,Eleven,1937,October,"October,1937",80,0,
5,New England,1938,September,"September,1938",160,682,
3,Grace,1939,August,"August,1939",120,15," $513,000,000.00 "
3,Larry,1939,October,"October,1939",125,7," $80,000,000.00 "
1,Two,1939,August,"August,1939",75,0, $200.00 
2,Charlie,1939,August,"August,1939",110,0,
2,George,1939,October,"October,1939",110,0,
1,Six,1939,October,"October,1939",90,2,
2,Item,1940,October,"October,1940",105,0," $1,500,000.00 "
1,Eight,1940,October,"October,1940",80,0,
2,How,1941,September,"September,1941",100,17," $2,000,000.00 "
1,Three,1941,September,"September,1941",80,0,
2,Able,1942,August,"August,1942",100,3," $21,700,000.00 "
1,Two,1942,August,"August,1942",80,0," $790,000.00 "
2,Alice,1944,September,"September,1944",110,56," $2,000,000.00 "
1,Three,1944,July,"July,1944",80,0," $2,000,000.00 "
2,Baker,1944,July,"July,1944",110,0,
2,Easy,1944,July,"July,1944",105,0,
1,Eight,1944,September,"September,1944",80,,
4,Great Atlantic hurricane,1944,September,"September,1944",,,
1,One,1944,July,"July,1944",80,0,
2,Thirteen,1944,October,"October,1944",100,0,
1,Twelve,1944,October,"October,1944",80,0,
2,Diane,1945,October,"October,1945",105,184," $754,000,000.00 "
1,Ten,1945,October,"October,1945",90,1,
4,Unnamed,1945,,",1945",,,
2,Edith,1946,July,"July,1946",105,0,
1,Two,1946,July,"July,1946",80,0,
1,Three,1947,August,"August,1947",80,1," $800,000.00 "
2,Flora,1947,August,"August,1947",105,0,
2,Greta,1948,November,"November,1948",100,1," $3,580,000.00 "
1,Five,1948,September,"September,1948",80,0," $900,000.00 "
2,Katie,1948,September,"September,1948",110,7," $200,000.00 "
1,Ten,1948,November,"November,1948",75,0,
4,Unnamed,1948,,",1948",,,
1,Ten,1949,September,"September,1949",80,15," $1,012,000.00 "
2,Ella,1949,September,"September,1949",110,37," $100,000.00 "
2,Ilsa,1949,October,"October,1949",110,0,
1,Thirteen,1949,October,"October,1949",90,0,
4,Unnamed,1949,,",1949",,,
2,Janice,1950,October,"October,1950",100,9," $200,000.00 "
1,Love,1950,October,"October,1950",80,0,
2,Edith,1951,September,"September,1951",100,10," $46,600,000.00 "
1,Dog,1951,August,"August,1951",90,7," $3,000,000.00 "
2,Daisy,1951,August,"August,1951",105,32," $1,100,000.00 "
2,Anna,1951,May,"May,1951",105,1," $300,000.00 "
1,Able,1951,May,"May,1951",90,0,
4,Charlie,1951,August,"August,1951",,,
2,Ella,1951,October,"October,1951",110,2,
1,Jig,1951,October,"October,1951",75,0,
1,Twelve,1951,September,"September,1951",80,0,
4,Fox,1952,October,"October,1952",,,
1,Barbara,1953,August,"August,1953",90,9," $1,300,000.00 "
2,Ginny,1953,August,"August,1953",110,5," $500,000.00 "
1,Hazel,1953,October,"October,1953",85,0," $250,000.00 "
2,Anna,1953,October,"October,1953",105,0,
5,Carol,1953,September,"September,1953",160,5,
1,Dolly,1953,September,"September,1953",75,0,
2,Elena,1953,October,"October,1953",110,0,
2,Ethel,1953,September,"September,1953",105,0,
1,Gail,1953,October,"October,1953",80,0,
1,Alice,1954,December,"December,1954",90,0," $623,000.00 "
2,Chloe,1954,August,"August,1954",110,14,
1,Dolly,1954,August,"August,1954",85,0,
4,Hazel,1954,October,"October,1954",,,
1,Gladys,1955,September,"September,1955",90,0," $500,000.00 "
4,Connie,1955,August,"August,1955",,,
5,Janet,1955,September,"September,1955",175,1023,
2,Laurie,1955,September,"September,1955",105,0,
1,Flossy,1956,September,"September,1956",90,15," $24,900,000.00 "
2,Ginger,1956,September,"September,1956",110,1," $10,000,000.00 "
1,Anna,1956,July,"July,1956",85,0," $50,000.00 "
2,Eighteen,1956,July,"July,1956",105,0,
2,Betty,1957,September,"September,1957",105,0,
4,Carrie,1957,September,"September,1957",,,
1,Frieda,1957,September,"September,1957",85,0,
2,Fifi,1958,September,"September,1958",110,8210," $1,800,000,000.00 "
1,Fifi,1958,September,"September,1958",85,0,
4,Helene,1958,September,"September,1958",,,
1,Escuminac (Three),1959,June,"June,1959",85,35," $2,500,000.00 "
1,Debra,1959,July,"July,1959",85,0," $700,000.00 "
1,Cindy,1959,July,"July,1959",75,6," $75,000.00 "
2,Doris,1959,June,"June,1959",110,0,
2,Emmy,1959,July,"July,1959",105,68,
2,Faye,1959,July,"July,1959",105,0,
1,Flora,1959,September,"September,1959",75,0,
2,Flossie,1959,October,"October,1959",100,0,
2,Gloria,1959,September,"September,1959",105,0,
4,Gracie,1959,September,"September,1959",,,
1,Judith,1959,October,"October,1959",85,0,
1,Abby,1960,July,"July,1960",80,6," $640,000.00 "
2,Bonnie,1960,August,"August,1960",100,0,
1,Cleo,1960,August,"August,1960",85,0,
4,Donna,1960,September,"September,1960",,,
2,Gloria,1960,July,"July,1960",100,0,
1,Debbie,1961,September,"September,1961",90,78," $50,000,000.00 "
4,Carla,1961,September,"September,1961",,,
5,Esther,1961,September,"September,1961",160,7,
5,Hattie,1961,October,"October,1961",165,319,
2,Ivan,1961,September,"September,1961",105,0,
2,Jeanne,1961,November,"November,1961",100,0,
1,Jenny,1961,November,"November,1961",80,0,
1,Alma,1962,August,"August,1962",85,1," $1,000,000.00 "
2,Gert,1962,August,"August,1962",105,0,
2,Josephine,1962,November,"November,1962",105,1,
1,Ten,1962,November,"November,1962",90,0,
2,Dean,1963,September,"September,1963",105,0," $8,900,000.00 "
1,Debra,1963,September,"September,1963",75,0,
2,Earl,1963,September,"September,1963",105,0,
4,Flora,1963,October,"October,1963",,,
1,Four,1963,September,"September,1963",80,0,
4,Cleo,1964,August,"August,1964",,,
4,Dora,1964,September,"September,1964",,,
2,Erin,1964,July,"July,1964",105,0,
4,Hilda,1964,October,"October,1964",,,
1,Three,1964,July,"July,1964",85,0,
2,Diana,1965,September,"September,1965",100,139," $90,700,000.00 "
4,Betsy,1965,September,"September,1965",,,
1,Carol,1965,September,"September,1965",90,0,
1,Becky,1966,July,"July,1966",75,0,
2,Bonnie,1966,July,"July,1966",110,1,
1,Celia,1966,July,"July,1966",80,0,
2,Charley,1966,November,"November,1966",110,0,
1,Dorothy,1966,July,"July,1966",85,0,
2,Grace,1966,July,"July,1966",105,0,
5,Inez,1966,September,"September,1966",165,756,
2,Isidore,1966,July,"July,1966",100,0,
1,Lois,1966,November,"November,1966",80,0,
2,Erin,1967,October,"October,1967",100,13," $700,000,000.00 "
2,Gert,1967,August,"August,1967",100,116," $170,000,000.00 "
1,Doria,1967,September,"September,1967",85,3," $150,000.00 "
1,Arlene,1967,August,"August,1967",85,0,
5,Beulah,1967,September,"September,1967",160,59,
1,Fern,1967,October,"October,1967",85,3,
2,Florence,1967,September,"September,1967",110,0,
1,Heidi,1967,October,"October,1967",90,0,
2,Humberto,1967,October,"October,1967",110,0,
2,Earl,1968,August,"August,1968",100,3," $79,000,000.00 "
1,Gladys,1968,October,"October,1968",85,11," $18,700,000.00 "
1,Abby,1968,June,"June,1968",75,6," $450,000.00 "
2,Danielle,1968,June,"June,1968",105,0," $50,000.00 "
1,Brenda,1968,June,"June,1968",75,0,
1,Dolly,1968,August,"August,1968",80,0,
2,Iris,1968,June,"June,1968",110,5,
2,Jeanne,1968,October,"October,1968",105,0,
2,Irene,1969,September,"September,1969",110,18," $800,000,000.00 "
2,Dennis,1969,September,"September,1969",105,4," $157,000,000.00 "
1,Martha,1969,November,"November,1969",90,5," $30,000,000.00 "
2,Jose,1969,October,"October,1969",100,3," $5,000,000.00 "
1,Blanche,1969,August,"August,1969",85,0,
5,Camille,1969,August,"August,1969",175,259,
1,Holly,1969,September,"September,1969",85,0,
2,Karl,1969,August,"August,1969",105,0,
2,Michael,1969,November,"November,1969",110,0,
1,Seventeen,1969,October,"October,1969",75,0,
1,Ten,1969,September,"September,1969",75,0,
2,Gustav,1970,October,"October,1970",100,4," $340,000.00 "
1,Alma,1970,May,"May,1970",75,8,
4,Celia,1970,August,"August,1970",,,
2,Humberto,1970,May,"May,1970",105,0,
1,Nineteen,1970,October,"October,1970",80,0,
2,Dolly,1971,September,"September,1971",100,26," $1,600,000,000.00 "
2,Juan,1971,August,"August,1971",110,8," $200,000,000.00 "
1,Fern,1971,September,"September,1971",90,2," $30,200,000.00 "
1,Beth,1971,August,"August,1971",85,1," $5,100,000.00 "
1,Irene,1971,September,"September,1971",80,3," $1,000,000.00 "
2,Danielle,1971,August,"August,1971",110,0,
5,Edith,1971,September,"September,1971",160,37,
2,Irene,1971,September,"September,1971",105,1,
1,Two,1971,August,"August,1971",85,0,
1,Agnes,1972,June,"June,1972",90,128," $2,100,000,000.00 "
2,Ida,1972,June,"June,1972",105,4," $11,400,000.00 "
2,Alex,1972,September,"September,1972",110,52," $1,520,000.00 "
1,Dawn,1972,September,"September,1972",80,0,
2,Richard,1973,August,"August,1973",100,2," $80,000,000.00 "
2,Tomas,1973,October,"October,1973",100,51," $4,634,000.00 "
1,Alice,1973,July,"July,1973",90,0,
1,Brenda,1973,August,"August,1973",90,10,
1,Fran,1973,October,"October,1973",80,0,
2,Paula,1973,July,"July,1973",105,1,
2,Ernesto,1974,September,"September,1974",100,12," $252,200,000.00 "
4,Carmen,1974,September,"September,1974",,,
1,Gertrude,1974,September,"September,1974",75,0,
1,Blanche,1975,July,"July,1975",85,0," $6,200,000.00 "
2,Gordon,1975,July,"July,1975",110,0,
2,Arthur,1976,October,"October,1976",100,1," $28,600,000.00 "
1,Candice,1976,August,"August,1976",90,0,
1,Holly,1976,October,"October,1976",75,0,
2,Kirk,1976,August,"August,1976",105,0,
1,Babe,1977,September,"September,1977",75,0," $13,000,000.00 "
2,Katia,1977,September,"September,1977",105,3," $3,260,000.00 "
5,Anita,1977,September,"September,1977",175,11,
2,Chris,1977,September,"September,1977",105,1,
1,Clara,1977,September,"September,1977",75,0,
1,Dorothy,1977,September,"September,1977",85,0,
1,Evelyn,1977,October,"October,1977",80,0,
2,Gert,1977,September,"September,1977",110,2,
2,Helene,1977,October,"October,1977",110,3,
1,Kendra,1978,October,"October,1978",80,1," $6,000,000.00 "
1,Cora,1978,August,"August,1978",90,1,
4,Greta,1978,September,"September,1978",,,
2,Jerry,1978,October,"October,1978",105,0,
2,Oscar,1978,August,"August,1978",110,0,
2,Sally,1979,September,"September,1979",110,5," $7,928,700,000.00 "
2,Paulette,1979,July,"July,1979",105,1," $50,000,000.00 "
1,Bob,1979,July,"July,1979",75,1," $20,000,000.00 "
5,David,1979,August,"August,1979",175,2068,
4,Frederic,1979,September,"September,1979",,,
1,Henri,1979,September,"September,1979",85,0,
5,Allen,1980,August,"August,1980",190,13," $2,012,000,000.00 "
1,Charley,1980,August,"August,1980",80,7,
1,Earl,1980,September,"September,1980",75,0,
1,Georges,1980,September,"September,1980",80,0,
1,Karl,1980,November,"November,1980",85,0,
1,Dennis,1981,August,"August,1981",80,0," $15,000,000.00 "
1,Emily,1981,August,"August,1981",90,0,
1,Katrina,1981,November,"November,1981",85,2,
1,Alberto,1982,June,"June,1982",85,23," $85,000,000.00 "
1,Barry,1983,August,"August,1983",80,0,
1,Chantal,1983,September,"September,1983",75,0,
1,Klaus,1984,November,"November,1984",90,2," $152,000,000.00 "
4,Diana,1984,September,"September,1984",,,
1,Hortense,1984,September,"September,1984",75,0,
1,Lili,1984,December,"December,1984",80,0,
1,Juan,1985,October,"October,1985",85,63," $3,906,500,000.00 "
4,Gloria,1985,September,"September,1985",,11," $2,242,900,000.00 "
1,Danny,1985,August,"August,1985",90,5," $100,000,000.00 "
1,Bob,1985,July,"July,1985",75,5," $20,000,000.00 "
1,Claudette,1985,August,"August,1985",85,0,
1,Bonnie,1986,June,"June,1986",85,5," $42,000,000.00 "
1,Charley,1986,August,"August,1986",80,15," $15,000,000.00 "
1,Frances,1986,November,"November,1986",85,0,
1,Floyd,1987,October,"October,1987",75,1," $500,000.00 "
1,Arlene,1987,August,"August,1987",75,0," $8,000.00 "
1,Florence,1988,September,"September,1988",80,1," $2,900,000.00 "
1,Debby,1988,August,"August,1988",75,20,
5,Gilbert,1988,September,"September,1988",185,318,
4,Joan,1988,October,"October,1988",,,
5,Hugo,1989,September,"September,1989",160,86," $20,429,700,000.00 "
1,Chantal,1989,July,"July,1989",80,13," $100,000,000.00 "
1,Jerry,1989,October,"October,1989",85,3," $70,000,000.00 "
1,Felix,1989,August,"August,1989",85,0,
1,Bertha,1990,July,"July,1990",80,9," $3,910,000.00 "
1,Klaus,1990,October,"October,1990",80,11," $1,000,000.00 "
1,Josephine,1990,September,"September,1990",85,0,
1,Lili,1990,October,"October,1990",75,0,
1,Nana,1990,October,"October,1990",85,0,
1,1991 Perfect Storm,1991,October,"October,1991",75,13," $200,000,000.00 "
5,Andrew,1992,August,"August,1992",175,61," $54,270,000,000.00 "
1,Frances,1992,October,"October,1992",85,0,
1,Floyd,1993,September,"September,1993",75,0,
1,Harvey,1993,September,"September,1993",75,0,
1,Gordon,1994,November,"November,1994",85,1152," $594,000,000.00 "
1,Chris,1994,August,"August,1994",80,0,
4,Opal,1995,October,"October,1995",,27," $8,674,700,000.00 "
1,Allison,1995,June,"June,1995",75,1," $1,700,000.00 "
4,Luis,1995,September,"September,1995",,,
1,Noel,1995,September,"September,1995",75,0,
1,Tanya,1995,October,"October,1995",85,1,
1,Marco,1996,November,"November,1996",75,13," $3,885,000,000.00 "
1,Cesar,1996,July,"July,1996",85,113," $203,000,000.00 "
1,Dolly,1996,August,"August,1996",80,14,
4,Hortense,1996,September,"September,1996",,,
1,Danny,1997,July,"July,1997",80,9," $100,000,000.00 "
1,Bill,1997,July,"July,1997",75,0,
4,Georges,1998,September,"September,1998",,16," $10,353,200,000.00 "
1,Ivan,1998,September,"September,1998",90,0,
1,Lisa,1998,October,"October,1998",75,0,
5,Mitch,1998,October,"October,1998",180,19325,
1,Nicole,1998,November,"November,1998",85,0,
4,Floyd,1999,September,"September,1999",,77," $10,969,900,000.00 "
4,Bret,1999,August,"August,1999",,,
4,Lenny,1999,November,"November,1999",,,
1,Gordon,2000,September,"September,2000",80,26," $10,800,000.00 "
1,Debby,2000,August,"August,2000",85,1," $7,350,000.00 "
1,Florence,2000,September,"September,2000",80,3,
1,Joyce,2000,September,"September,2000",90,0,
4,Keith,2000,October,"October,2000",,,
1,Gabrielle,2001,September,"September,2001",80,3," $230,000,000.00 "
1,Karen,2001,October,"October,2001",80,0," $1,400,000.00 "
4,Iris,2001,October,"October,2001",,,
4,Michelle,2001,November,"November,2001",,,
1,Noel,2001,November,"November,2001",75,0,
1,Olga,2001,November,"November,2001",90,0,
4,Lili,2002,October,"October,2002",,2," $1,734,100,000.00 "
1,Kyle,2002,September,"September,2002",85,1," $5,000,000.00 "
5,Isabel,2003,September,"September,2003",165,55," $8,390,600,000.00 "
1,Claudette,2003,July,"July,2003",90,3," $181,000,000.00 "
1,Erika,2003,August,"August,2003",75,2," $100,000.00 "
1,Danny,2003,July,"July,2003",75,0,
5,Ivan,2004,September,"September,2004",165,57," $30,545,800,000.00 "
4,Frances,2004,September,"September,2004",,48," $14,601,900,000.00 "
4,Charley,2004,August,"August,2004",,35," $2,399,300,000.00 "
1,Gaston,2004,August,"August,2004",75,9," $130,000,000.00 "
1,Lisa,2004,September,"September,2004",75,0,
5,Katrina,2005,August,"August,2005",175,1833," $180,042,400,000.00 "
5,Wilma,2005,October,"October,2005",185,35," $26,980,000,000.00 "
5,Rita,2005,September,"September,2005",180,119," $26,455,100,000.00 "
1,Stan,2005,October,"October,2005",80,1668," $3,960,000,000.00 "
4,Dennis,2005,July,"July,2005",,15," $3,617,800,000.00 "
1,Cindy,2005,July,"July,2005",75,3," $320,000,000.00 "
1,Ophelia,2005,September,"September,2005",85,3," $70,000,000.00 "
5,Emily,2005,July,"July,2005",160,17,
1,Epsilon,2005,November,"November,2005",85,0,
1,Nate,2005,September,"September,2005",90,2,
1,Philippe,2005,September,"September,2005",80,0,
1,Vince,2005,October,"October,2005",75,0,
1,Ernesto,2006,August,"August,2006",75,11," $500,000,000.00 "
1,Florence,2006,September,"September,2006",90,0," $20,000.00 "
1,Isaac,2006,September,"September,2006",85,0,
1,Noel,2007,October,"October,2007",80,222," $580,000,000.00 "
1,Lorenzo,2007,September,"September,2007",80,6," $92,000,000.00 "
1,Humberto,2007,September,"September,2007",90,1," $50,000,000.00 "
5,Dean,2007,August,"August,2007",175,45,
5,Felix,2007,September,"September,2007",175,133,
1,Karen,2007,September,"September,2007",75,0,
4,Ike,2008,September,"September,2008",,112," $38,998,400,000.00 "
4,Gustav,2008,August,"August,2008",,53," $7,736,100,000.00 "
1,Hanna,2008,August,"August,2008",85,537," $160,000,000.00 "
1,Kyle,2008,September,"September,2008",85,8," $57,000,000.00 "
4,Paloma,2008,November,"November,2008",,,
4,Bill,2009,August,"August,2009",,,
4,Earl,2010,August,"August,2010",,,
4,Igor,2010,September,"September,2010",,,
1,Lisa,2010,September,"September,2010",85,0,
1,Otto,2010,October,"October,2010",85,0,
1,Shary,2010,October,"October,2010",75,0,
1,Maria,2011,September,"September,2011",80,0,
1,Nate,2011,September,"September,2011",75,5,
1,Philippe,2011,September,"September,2011",90,0,
1,Isaac,2012,August,"August,2012",80,9," $3,399,100,000.00 "
1,Chris,2012,June,"June,2012",85,0,
1,Leslie,2012,August,"August,2012",80,0,
1,Nadine,2012,September,"September,2012",90,0,
1,Humberto,2013,September,"September,2013",90,0,
1,Ingrid,2013,September,"September,2013",85,32,
1,Bertha,2014,August,"August,2014",80,0,
1,Cristobal,2014,August,"August,2014",85,7,
1,Fay,2014,October,"October,2014",80,0,
4,Gonzalo,2014,October,"October,2014",,,
1,Fred,2015,August,"August,2015",85,9,
4,Joaquin,2015,October,"October,2015",,,
1,Kate,2015,November,"November,2015",85,0,
5,Matthew,2016,October,"October,2016",165,49," $11,700,000,000.00 "
1,Alex,2016,January,"January,2016",85,1,
1,Earl,2016,August,"August,2016",85,94,
1,Hermine,2016,August,"August,2016",80,5,
4,Harvey,2017,August,"August,2017",,89," $143,750,000,000.00 "
5,Maria,2017,September,"September,2017",175,2981," $103,500,000,000.00 "
5,Irma,2017,September,"September,2017",180,97," $57,500,000,000.00 "
1,Franklin,2017,August,"August,2017",85,0,
1,Nate,2017,October,"October,2017",90,48,
5,Michael,2018,October,"October,2018",160,49," $27,972,000,000.00 "
4,Florence,2018,September,"September,2018",,53," $26,880,000,000.00 "
1,Beryl,2018,July,"July,2018",80,0,
1,Isaac,2018,September,"September,2018",75,0,
1,Leslie,2018,September,"September,2018",90,17,
5,Dorian,2019,September,"September,2019",185,10," $1,787,100,000.00 "
1,Barry,2019,July,"July,2019",75,1,
5,Lorenzo,2019,September,"September,2019",160,19,
1,Pablo,2019,October,"October,2019",80,0,
4,Laura,2020,August,"August,2020",,42," $25,304,500,000.00 "
1,Isaias,2020,July,"July,2020",90,16," $5,185,200,000.00 "
4,Delta,2020,October,"October,2020",,5," $3,125,300,000.00 "
1,Hanna,2020,July,"July,2020",90,0," $1,171,800,000.00 "
4,Eta,2020,November,"November,2020",,,
1,Gamma,2020,October,"October,2020",75,6,
4,Iota,2020,November,"November,2020",,,
1,Marco,2020,August,"August,2020",75,1,
1,Nana,2020,September,"September,2020",75,0,
1,Nicholas,2021,September,"September,2021",75,0," $1,056,600,000.00 "
4,Ida,2021,August,"August,2021",105,96,#REF!
1,Elsa,2021,June,"June,2021",85,13,
1,Henri,2021,August,"August,2021",75,2,
4,Sam,2021,September,"September,2021",,,
2,Kara,"1954 – January 6, 1955",December,"December,1954 – January 6, 1955",105,0,