,Name,Duration,Sustainedwind speeds,Pressure,Areas affected,Deaths,Damage(USD),Month,Year,Month_only
194,Debra,"July 22 – 27, 1959",85,984,"Texas, Oklahoma, Gulf Coast of the United States, Midwestern United States",0,$7 million,July 22 – 27,1959,July
195,Flora,"September 9 – 12, 1959",75,994,None,0,,September 9 – 12,1959,September
196,Judith,"October 14 – 22, 1959",85,988,Florida,0,,October 14 – 22,1959,October
197,Abby,"July 9 – 17, 1960",80,995,"Lesser Antilles, Puerto Rico, Leeward Antilles, Hispaniola, Jamaica, Nicaragua, Honduras, Belize, Guatemala, Mexico",6,$640 thousand,July 9 – 17,1960,July
198,Cleo,"August 17 – 21, 1960",85,995,"Greater Antilles, The Bahamas, Northeastern United States, Nova Scotia",0,,August 17 – 21,1960,August
199,Debbie,"September 6 – 16, 1961",90,975,"Cape Verde, Azores, Ireland, United Kingdom, Norway, Soviet Union",78,$50 million,September 6 – 16,1961,September
200,Jenny,"November 1 – 10, 1961",80,974,"Puerto Rico, Leeward Islands",0,,November 1 – 10,1961,November
201,Alma,"August 26 – 30, 1962",85,984,"Puerto Rico, East Coast of the United States",1,$1 million,August 26 – 30,1962,August
202,Ten,"November 28 – December 4, 1962",90,988,East Coast of the United States,0,,November 28 – December 4,1962,November
203,Four,"September 9 – 14, 1963",80,990,Bermuda,0,,September 9 – 14,1963,September
204,Debra,"September 19 – 24, 1963",75,999,None,0,,September 19 – 24,1963,September
205,Three,"July 28 – August 2, 1964",85,990,British Isles,0,,July 28 – August 2,1964,July
206,Carol,"September 16 – 30, 1965",90,974,Azores,0,,September 16 – 30,1965,September
207,Becky,"July 1 – 3, 1966",75,985,None,0,,July 1 – 3,1966,July
208,Celia,"July 13 – 21, 1966",80,995,"Atlantic Canada, Quebec",0,,July 13 – 21,1966,July
209,Dorothy,"July 22 – 30, 1966",85,989,None,0,,July 22 – 30,1966,July
210,Lois,"November 4 – 11, 1966",80,986,Azores,0,,November 4 – 11,1966,November
211,Arlene,"August 28 – September 4, 1967",85,982,Newfoundland,0,,August 28 – September 4,1967,August
212,Doria,"September 8 – 21, 1967",85,973,East Coast of the United States,3,$150 thousand,September 8 – 21,1967,September
213,Fern,"October 1 – 4, 1967",85,987,"Mexico, Texas",3,,October 1 – 4,1967,October
214,Heidi,"October 19 – 31, 1967",90,981,Bermuda,0,,October 19 – 31,1967,October
215,Abby,"June 1 – 13, 1968",75,992,"Cuba, Florida, Georgia, The Carolinas",6,"$450,000",June 1 – 13,1968,June
216,Brenda,"June 17 – 26, 1968",75,990,Florida,0,,June 17 – 26,1968,June
217,Dolly,"August 10 – 17, 1968",80,985,"The Carolinas, Florida, Azores",0,,August 10 – 17,1968,August
218,Gladys,"October 13 – 21, 1968",85,965,"Cuba, Florida, East Coast of the United States, Nova Scotia",11,$18.7 million,October 13 – 21,1968,October
219,Blanche,"August 11 – 12, 1969",85,997,Sable Island,0,,August 11 – 12,1969,August
220,Holly,"September 14 – 21, 1969",85,984,Leeward Islands,0,,September 14 – 21,1969,September
221,Ten,"September 21 – 26, 1969",75,985,None,0,,September 21 – 26,1969,September
222,Seventeen,"October 31 – November 7, 1969",75,988,None,0,,October 31 – November 7,1969,October
223,Martha,"November 21 – 25, 1969",90,975,"Panama, Costa Rica",5,$30 million,November 21 – 25,1969,November
224,Alma,"May 17 – 26, 1970",75,993,"Cayman Islands, Jamaica, Cuba, Southeastern United States",8,,May 17 – 26,1970,May
225,Nineteen,"October 20 – 28, 1970",80,988,None,0,,October 20 – 28,1970,October
226,Two,"August 3 – 7, 1971",85,974,None,0,,August 3 – 7,1971,August
227,Beth,"August 10 – 16, 1971",85,977,"The Bahamas, Florida, Nova Scotia, Newfoundland",1,$5.1 million,August 10 – 16,1971,August
228,Fern,"September 3 – 13, 1971",90,979,"Louisiana, Texas, northern Mexico",2,$30.2 million,September 3 – 13,1971,September
229,Irene,"September 11 – 20, 1971",80,989,"Lesser Antilles, Leeward Antilles, Central America",3,$1 million,September 11 – 20,1971,September
230,Agnes,"June 14 – 23, 1972",90,977,"Yucatán Peninsula, western Cuba, Florida Panhandle, Georgia, North Carolina, Virginia, Maryland, Pennsylvania, New York, Atlantic Canada",128,$2.1 billion,June 14 – 23,1972,June
231,Dawn,"September 5 – 14, 1972",80,997,Southeastern United States,0,,September 5 – 14,1972,September
232,Alice,"July 1 – 7, 1973",90,986,"Bermuda, Newfoundland",0,,July 1 – 7,1973,July
233,Brenda,"August 18 – 22, 1973",90,977,"Cayman Islands, Mexico",10,,August 18 – 22,1973,August
234,Fran,"October 8 – 12, 1973",80,978,Azores,0,,October 8 – 12,1973,October
235,Gertrude,"September 25 – October 4, 1974",75,999,Windward Islands,0,,September 25 – October 4,1974,September
236,Blanche,"July 23 – 28, 1975",85,980,"Maine, Nova Scotia",0,$6.2 million,July 23 – 28,1975,July
237,Candice,"August 18 – 24, 1976",90,964,None,0,,August 18 – 24,1976,August
238,Holly,"October 22 – 28, 1976",75,990,None,0,,October 22 – 28,1976,October
239,Babe,"September 3 – 9, 1977",75,995,"Florida, Louisiana, Alabama, Mississippi, Tennessee, Georgia, South Carolina, North Carolina and Virginia",0,$13 million,September 3 – 9,1977,September
240,Clara,"September 5 – 11, 1977",75,993,"The Carolinas, Nova Scotia",0,,September 5 – 11,1977,September
241,Dorothy,"September 26 – 29, 1977",85,980,"Bermuda, Newfoundland",0,,September 26 – 29,1977,September
242,Evelyn,"October 13 – 15, 1977",80,994,"Bermuda, Nova Scotia, Newfoundland",0,,October 13 – 15,1977,October
243,Cora,"August 7 – 12, 1978",90,980,"Windward Islands, St. Lucia, Barbados, Grenada",1,,August 7 – 12,1978,August
244,Kendra,"October 28 – November 1, 1978",80,990,"Puerto Rico, East Coast of the United States",1,$6 million,October 28 – November 1,1978,October
245,Bob,"July 9 – 16, 1979",75,983,"Louisiana, Mississippi, Alabama, Midwestern United States",1,$20 million,July 9 – 16,1979,July
246,Henri,"September 15 – 24, 1979",85,986,"Mexico, Florida",0,,September 15 – 24,1979,September
247,Charley,"August 20 – 25, 1980",80,989,North Carolina,7,,August 20 – 25,1980,August
248,Georges,"September 1 – 8, 1980",80,993,Newfoundland,0,,September 1 – 8,1980,September
249,Earl,"September 4 – 10, 1980",75,985,None,0,,September 4 – 10,1980,September
250,Karl,"November 25 – 28, 1980",85,985,None,0,,November 25 – 28,1980,November
251,Dennis,"August 7 – 21, 1981",80,995,"Lesser Antilles, Greater Antilles, The Bahamas, Florida, Georgia, The Carolinas, Virginia",0,$15 million,August 7 – 21,1981,August
252,Emily,"August 31 – September 11, 1981",90,966,None,0,,August 31 – September 11,1981,August
253,Katrina,"November 3 – 7, 1981",85,980,"Cayman Islands, Jamaica, Cuba, The Bahamas, Turks and Caicos Islands",2,,November 3 – 7,1981,November
254,Alberto,"June 1 – 6, 1982",85,985,"Cuba, Florida",23,$85 million,June 1 – 6,1982,June
255,Barry,"August 23 – 29, 1983",80,986,"Florida, Texas, Mexico",0,,August 23 – 29,1983,August
256,Chantal,"September 10 – 15, 1983",75,994,None,0,,September 10 – 15,1983,September
257,Hortense,"September 23 – October 2, 1984",75,993,None,0,,September 23 – October 2,1984,September
258,Klaus,"November 5 – 13, 1984",90,971,"Puerto Rico, Leeward Islands",2,$152 million,November 5 – 13,1984,November
259,Lili,"December 12 – 24, 1984",80,980,"Puerto Rico, Hispaniola",0,,December 12 – 24,1984,December
260,Bob,"July 21 – 26, 1985",75,"1,002","Florida, Southeast United States, Mid-Atlantic states, southern New England",5,$20 million,July 21 – 26,1985,July
261,Claudette,"August 9 – 16, 1985",85,980,"Bermuda, Azores",0,,August 9 – 16,1985,August
262,Danny,"August 12 – 18, 1985",90,987,"Cuba, Gulf Coast of the United States, Tennessee, The Carolinas, Virginia",5,$100 million,August 12 – 18,1985,August
263,Juan,"October 26 – November 21, 1985",85,971,"Louisiana, Gulf Coast of the United States, central United States, Canada",12,$1.5 billion,October 26 – November 21,1985,October
264,Bonnie,"June 23 – 26, 1986",85,992,"Texas, Louisiana, Southeastern United States",5,$42 million,June 23 – 26,1986,June
265,Charley,"August 13 – 20, 1986",80,987,"Southeastern United States, Mid-Atlantic states, Massachusetts, Ireland, United Kingdom, Europe",15,$15 million,August 13 – 20,1986,August
266,Frances,"November 16 – 21, 1986",85,"1,000",None,0,,November 16 – 21,1986,November
267,Arlene,"August 10 – 23, 1987",75,987,"The Bahamas, Bermuda",0,$8 thousand,August 10 – 23,1987,August
268,Floyd,"October 9 – 13, 1987",75,993,"Cuba, Florida, The Bahamas",1,$500 thousand,October 9 – 13,1987,October
269,Debby,"August 31 – September 8, 1988",75,991,Mexico,20,,August 31 – September 8,1988,August
270,Florence,"September 7 – 11, 1988",80,982,"Yucatán Peninsula, Louisiana, Mississippi, Alabama, Florida",1,$2.9 million,September 7 – 11,1988,September
271,Chantal,"July 30 – August 3, 1989",80,984,"Texas, Louisiana, Oklahoma, Midwestern United States",13,$100 million,July 30 – August 3,1989,July
272,Felix,"August 25 – September 9, 1989",85,979,None,0,,August 25 – September 9,1989,August
273,Jerry,"October 12 – 16, 1989",85,982,"Texas, eastern United States",3,$70 million,October 12 – 16,1989,October
274,Bertha,"July 24 – August 2, 1990",80,973,"The Bahamas, East Coast of the United States, Bermuda, Atlantic Canada",9,$3.91 million,July 24 – August 2,1990,July
275,Josephine,"September 21 – October 6, 1990",85,980,None,0,,September 21 – October 6,1990,September
276,Klaus,"October 3 – 9, 1990",80,985,"Lesser Antilles, Puerto Rico, Hispaniola, Turks and Caicos Islands, The Bahamas, Southeastern United States",11,$1 million,October 3 – 9,1990,October
277,Lili,"October 6 – 14, 1990",75,987,"Bermuda, East Coast of the United States, Atlantic Canada",0,,October 6 – 14,1990,October
278,Nana,"October 16 – 21, 1990",85,989,Bermuda,0,,October 16 – 21,1990,October
279,1991 Perfect Storm,"October 31 - November 2, 1991",75,980,"Northeastern United States, Mid-Atlantic states, Eastern Canada",13,$200 million,October 31 - November 2,1991,October
280,Frances,"October 23 – 27, 1992",85,976,"Newfoundland, Iberian Peninsula",0,,October 23 – 27,1992,October
281,Floyd,"September 7 – 10, 1993",75,990,Newfoundland,0,,September 7 – 10,1993,September
282,Harvey,"September 18 – 21, 1993",75,990,None,0,,September 18 – 21,1993,September
283,Chris,"August 16 – 23, 1994",80,979,Bermuda,0,,August 16 – 23,1994,August
284,Gordon,"November 8 – 21, 1994",85,980,"Central America, Cayman Islands, Jamaica, Hispaniola, Cuba, Turks and Caicos Islands, The Bahamas, Florida, Georgia, Mid-Atlantic states",1152,$594 million,November 8 – 21,1994,November
285,Allison,"June 3 – 6, 1995",75,987,"Yucatán Peninsula, western Cuba, Florida, Georgia, The Carolinas, Atlantic Canada",1,$1.7 million,June 3 – 6,1995,June
286,Noel,"September 28 – October 7, 1995",75,987,None,0,,September 28 – October 7,1995,September
287,Tanya,"October 26 – November 1, 1995",85,972,Azores,1,,October 26 – November 1,1995,October
288,Cesar,"July 24 – 28, 1996",85,985,"Windward Islands, Trinidad and Tobago, Leeward Antilles, Venezuela, Colombia, Mexico, Socorro Island, Panama, Guatemala, El Salvador",113,$203 million,July 24 – 28,1996,July
289,Dolly,"August 19 – 25, 1996",80,989,"Belize, Mexico, Texas",14,,August 19 – 25,1996,August
290,Marco,"November 16 – 26, 1996",75,983,"Cuba, Hispaniola, Central America, Jamaica, Florida",15,$8.2 million,November 16 – 26,1996,November
291,Bill,"July 11 – 13, 1997",75,986,Newfoundland,0,,July 11 – 13,1997,July
292,Danny,"July 16 – 26, 1997",80,984,"Louisiana, Alabama, Southeastern United States, Mid-Atlantic states, New England",9,$100 million,July 16 – 26,1997,July
293,Ivan,"September 19 – 27, 1998",90,975,None,0,,September 19 – 27,1998,September
294,Lisa,"October 5 – 9, 1998",75,995,None,0,,October 5 – 9,1998,October
295,Nicole,"November 24 – December 1, 1998",85,979,None,0,,November 24 – December 1,1998,November
296,Debby,"August 19 – 24, 2000",85,991,"Lesser Antilles, Puerto Rico, Hispaniola, Turks and Caicos Islands, Cuba, Jamaica",1,$735 thousand,August 19 – 24,2000,August
297,Florence,"September 10 – 19, 2000",80,985,"East Coast of the United States, Bermuda, Atlantic Canada",3,,September 10 – 19,2000,September
298,Gordon,"September 14 – 21, 2000",80,981,"Belize, Yucatán Peninsula, Cuba, East Coast of the United States, Atlantic Canada",26,$10.8 million,September 14 – 21,2000,September
299,Joyce,"September 29 – October 2, 2000",90,975,"Trinidad and Tobago, Windward Islands, Leeward Islands",0,,September 29 – October 2,2000,September
300,Gabrielle,"September 11 – 19, 2001",80,975,"Florida, Newfoundland",3,> 230 million,September 11 – 19,2001,September
301,Karen,"October 12 – 15, 2001",80,982,"Bermuda, Atlantic Canada",0,$1.4 million,October 12 – 15,2001,October
302,Noel,"November 4 – 6, 2001",75,986,Atlantic Canada,0,,November 4 – 6,2001,November
303,Olga,"November 24 – December 7, 2001",90,973,"Bermuda, The Bahamas, Cuba, Florida",0,,November 24 – December 7,2001,November
304,Kyle,"September 20 – October 14, 2002",85,980,"Bermuda, Florida, Georgia, The Carolinas, British Isles",1,$5 million,September 20 – October 14,2002,September
305,Claudette,"July 8 – 17, 2003",90,979,"Windward Islands, Jamaica, Yucatán Peninsula, Northern Mexico, Texas",3,$181 million,July 8 – 17,2003,July
306,Danny,"July 16 – 21, 2003",75,"1,000",None,0,,July 16 – 21,2003,July
307,Erika,"August 14 – 17, 2003",75,986,"Florida, Mexico, Southern Texas",2,$100 thousand,August 14 – 17,2003,August
308,Gaston,"August 27 – September 3, 2004",75,985,"The Carolinas, Virginia, Maryland, Delaware, Massachusetts",9,$130 million,August 27 – September 3,2004,August
309,Lisa,"September 19 – October 3, 2004",75,987,None,0,,September 19 – October 3,2004,September
310,Cindy,"July 3 – 12, 2005",75,991,"Yucatán Peninsula, The Carolinas, Alabama, Mississippi, Louisiana",3,$320 million,July 3 – 12,2005,July
311,Nate,"September 5 – 13, 2005",90,976,"Bermuda, East Coast of the United States, Scotland, Norway",2,,September 5 – 13,2005,September
312,Ophelia,"September 6 – 23, 2005",85,976,"The Bahamas, Eastern Coast of the United States, Atlantic Canada, Europe",3,$70 million,September 6 – 23,2005,September
313,Philippe,"September 17 – 23, 2005",80,985,Bermuda,0,,September 17 – 23,2005,September
314,Stan,"October 1 – 5, 2005",80,977,"Costa Rica, Nicaragua, Honduras, El Salvador, Belize, Guatemala, Mexico",1668,$3.96 billion,October 1 – 5,2005,October
315,Vince,"October 8 – 11, 2005",75,988,"Madeira Islands, Southern Portugal, Southwestern Spain",0,,October 8 – 11,2005,October
316,Epsilon,"November 29 – December 10, 2005",85,981,None,0,,November 29 – December 10,2005,November
317,Ernesto,"August 24 – September 1, 2006",75,985,"Lesser Antilles, Puerto Rico, Hispaniola, Cuba, East Coast of the United States, Atlantic Canada",11,$500 million,August 24 – September 1,2006,August
318,Florence,"September 3 – 18, 2006",90,974,"Bermuda, Newfoundland, East Coast of the United States, Atlantic Canada, Iceland, Greenland",0,$200 thousand,September 3 – 18,2006,September
319,Isaac,"September 27 – October 2, 2006",85,985,Newfoundland,0,,September 27 – October 2,2006,September
320,Humberto,"September 12 – 14, 2007",90,985,"Texas, Louisiana, Mississippi, The Carolinas",1,$50 million,September 12 – 14,2007,September
321,Karen,"September 25 – 29, 2007",75,988,None,0,,September 25 – 29,2007,September
322,Lorenzo,"September 25 – 28, 2007",80,990,Central Mexico,6,$92 million,September 25 – 28,2007,September
323,Noel,"October 28 – November 7, 2007",80,980,"Leeward Islands, Puerto Rico, Hispaniola, Jamaica, Cuba, Turks and Caicos Islands, The Bahamas, Florida, Eastern United States, Eastern Canada, Greenland, Western Europe",222,$580 million,October 28 – November 7,2007,October
324,Hanna,"August 28 – September 12, 2008",85,977,"Puerto Rico, Turks and Caicos Islands, The Bahamas, Hispaniola, East Coast of the United States, Atlantic Canada",537,$160 million,August 28 – September 12,2008,August
325,Kyle,"September 25 – 30, 2008",85,984,"Puerto Rico, Hispaniola, Bermuda, New England, Atlantic Canada",8,$57.1 million,September 25 – 30,2008,September
326,Lisa,"September 20 – 26, 2010",85,982,None,0,,September 20 – 26,2010,September
327,Otto,"October 6 – 18, 2010",85,976,"Leeward Islands, Virgin Islands, Puerto Rico, Azores, Canary Islands",0,,October 6 – 18,2010,October
328,Shary,"October 28 – 31, 2010",75,989,Bermuda,0,,October 28 – 31,2010,October
329,Maria,"September 5 – September 18, 2011",80,983,"Lesser Antilles, Bermuda, Newfoundland, Europe",0,,September 5 – September 18,2011,September
330,Nate,"September 7 – 12, 2011",75,994,Mexico,5,,September 7 – 12,2011,September
331,Philippe,"September 24 – October 8, 2011",90,976,None,0,,September 24 – October 8,2011,September
332,Chris,"June 18 – 22, 2012",85,974,"Bermuda, Atlantic Canada",0,,June 18 – 22,2012,June
333,Isaac,"August 21 – September 3, 2012",80,965,"Leeward Islands, Puerto Rico, Hispaniola, Cuba, The Bahamas, Southeastern United States, Midwestern United States",41,,August 21 – September 3,2012,August
334,Leslie,"August 30 – September 12, 2012",80,968,"Leeward Islands, Bermuda, Atlantic Canada",0,,August 30 – September 12,2012,August
335,Nadine,"September 10 – October 4, 2012",90,978,"Mexico, Texas",0,,September 10 – October 4,2012,September
336,Humberto,"September 8 – 19, 2013",90,979,Cape Verde,0,,September 8 – 19,2013,September
337,Ingrid,"September 12 – 17, 2013",85,983,"Mexico, Texas",32,,September 12 – 17,2013,September
338,Bertha,"August 1 – 16, 2014",80,998,"Lesser Antilles, Puerto Rico, Hispaniola, Cuba, Turks and Caicos Islands, The Bahamas, East Coast of the United States, Western Europe",0,,August 1 – 16,2014,August
339,Cristobal,"August 23 – September 2, 2014",85,965,"Puerto Rico, Hispaniola, Turks and Caicos Islands, East Coast of the United States, Bermuda, Iceland",7,,August 23 – September 2,2014,August
340,Fay,"October 10 – 13, 2014",80,983,Bermuda,0,,October 10 – 13,2014,October
341,Fred,"August 30 – September 6, 2015",85,986,"West Africa, Cape Verde",9,,August 30 – September 6,2015,August
342,Kate,"November 8 – 11, 2015",85,980,"Martinique, Puerto Rico, Hispaniola, The Bahamas, Europe",0,,November 8 – 11,2015,November
343,Alex,"January 12 – 15, 2016",85,981,Azores,1,,January 12 – 15,2016,January
344,Earl,"August 2 – 6, 2016",85,979,"Greater Antilles, Central America, Mexico",94,,August 2 – 6,2016,August
345,Hermine,"August 28 – September 3, 2016",80,981,East Coast of the United States,5,,August 28 – September 3,2016,August
346,Franklin,"August 7 – 10, 2017",85,981,"Central America, Mexico",0,,August 7 – 10,2017,August
347,Nate,"October 4 – 8, 2017",90,981,"Central America, Mexico, eastern United States",48,,October 4 – 8,2017,October
348,Beryl,"July 4 – 15, 2018",80,991,"Lesser Antilles, Greater Antilles",0,,July 4 – 15,2018,July
349,Isaac,"September 7 – 15, 2018",75,995,Lesser Antilles,0,,September 7 – 15,2018,September
350,Leslie,"September 23 – October 13, 2018",90,968,"Azores, Iberian Peninsula",17,,September 23 – October 13,2018,September
351,Barry,"July 11 – 15, 2019",75,993,Southeastern United States (particularly Louisiana),1,,July 11 – 15,2019,July
352,Pablo,"October 25 – 28, 2019",80,977,Azores,0,,October 25 – 28,2019,October
353,Hanna,"July 23 – 26, 2020",90,973,"Cuba, Hispaniola, United States Gulf Coast (mainly Texas), Northeast Mexico",9,,July 23 – 26,2020,July
354,Isaias,"July 30 – August 4, 2020",90,986,"Lesser Antilles, Greater Antilles, The Bahamas, East Coast of the United States, Eastern Canada",18,,July 30 – August 4,2020,July
355,Marco,"August 21 – 25, 2020",75,991,"Central America, Yucatán Peninsula, Gulf Coast of the United States",1,,August 21 – 25,2020,August
356,Nana,"September 1 – 3, 2020",75,994,"Honduras, Jamaica, Belize, Guatemala",0,,September 1 – 3,2020,September
357,Gamma,"October 2 – 6, 2020",75,978,"Honduras, Yucatán Peninsula, Cayman Islands, Cuba, Florida",6,,October 2 – 6,2020,October
358,Elsa,"June 30 – July 9, 2021",85,991,"Barbados, Trinidad and Tobago, Leeward Islands, Windward Islands, Venezuela, Hispaniola, Cuba, Jamaica, Cayman Islands, South Atlantic United States, Atlantic Canada",13,,June 30 – July 9,2021,June
359,Henri,"August 16 – 23, 2021",75,986,"Bermuda, Northeastern United States",2,,August 16 – 23,2021,August
360,Nicholas,"September 12 – 17, 2021",75,988,"Mexico, Texas",4,,September 12 – 17,2021,September
