Index,Category_x,Name,Year,Month_only,Month-Year,Sustainedwind speeds,Deaths, Actual Dollars ,Category_y,DateImpact,Landfall,Updated
14,3,Unnamed,1852,September,"September,1852",115,,,3,26-Aug,Alabama,3
40,3,Unnamed,1856,September,"September,1856",125,,,1,31-Aug,Alabama,3
70,3,Unnamed,1859,October,"October,1859",115,,,1,16-Sep,Alabama,3
75,3,Unnamed,1860,September,"September,1860",115,84,,2,12-Aug,Alabama,3
76,3,Unnamed,1860,September,"September,1860",115,84,,1,16-Sep,Alabama,3
159,3,Unnamed,1870,July,"July,1870",120,10,,1,30-Jul,Alabama,3
334,3,Unnamed,1882,August,"August,1882",125,175,,1,10-Sep,Alabama,3
337,3,Unnamed,1882,September,"September,1882",125,,,1,10-Sep,Alabama,3
611,4,Unnamed,1926,,",1926",,,,3,21-Aug,Alabama,4
648,4,Unnamed,1932,,",1932",,,,1,1-Sep,Alabama,4
856,5,Camille,1969,August,"August,1969",175,259,,1,18-Aug,Alabama,5
918,4,Frederic,1979,September,"September,1979",,,,4,13-Sep,Alabama,4
972,4,Opal,1995,October,"October,1995",,27,"$8,674,700,000.00 ",1,4-Oct,Alabama,4
982,1,Danny,1997,July,"July,1997",80,9,"$100,000,000.00 ",1,19-Jul,Alabama,1
1012,5,Ivan,2004,September,"September,2004",165,57,"$30,545,800,000.00 ",3,16-Sep,Alabama,3
1020,5,Katrina,2005,August,"August,2005",175,1833,"$180,042,400,000.00 ",1,29-Aug,Alabama,5
1029,4,Dennis,2005,July,"July,2005",,15,"$3,617,800,000.00 ",1,10-Jul,Alabama,4
1088,5,Michael,2018,October,"October,2018",160,49,"$27,972,000,000.00 ",1,10-Oct,Alabama,5
1116,,Unnamed,1893,,,,,,2,3-Oct,Alabama,2
1129,,Unnamed,1901,,,,,,1,15-Aug,Alabama,1
1133,,Unnamed,1906,,,,,,2,27-Sep,Alabama,2
1141,,Unnamed,1912,,,,,,1,14-Sep,Alabama,1
1144,,Unnamed,1916,,,,,,2,5-Jul,Alabama,2
1145,,Unnamed,1916,,,,,,2,18-Oct,Alabama,2
1151,,Unnamed,1917,,,,,,1,29-Sep,Alabama,1
1154,,Baker,1950,,,,,,1,31-Aug,Alabama,1
1155,,Eloise,1975,,,,,,1,23-Sep,Alabama,1
1157,,Elena,1985,,,,,,3,2-Sep,Alabama,3
1160,,Sally,2020,,,,,,2,16-Sep,Alabama,2
1162,,Zeta,2020,,,,,,1,29-Oct,Alabama,1
58,3,Unnamed,1858,June,"June,1858",115,,,1,16-Sep,Conneticut,3
137,3,Unnamed,1869,September,"September,1869",125,921,,1,8-Sep,Conneticut,3
459,4,Unnamed,1894,,",1894",,,,1,10-Oct,Conneticut,4
792,4,Donna,1960,September,"September,1960",,,,1,12-Sep,Conneticut,4
937,4,Gloria,1985,September,"September,1985",,11,"$2,242,900,000.00 ",1,27-Sep,Conneticut,4
1117,,Unnamed,1893,,,,,,1,24-Aug,Conneticut,1
1165,,Unnamed,1938,,,,,,3,21-Sep,Conneticut,3
1170,,Unnamed,1944,,,,,,1,15-Sep,Conneticut,1
1179,,Carol,1954,,,,,,3,31-Aug,Conneticut,3
1184,,Bob,1991,,,,,,2,19-Aug,Conneticut,2
239,3,Unnamed,1878,August,"August,1878",115,200,,1,23-Oct,Deleware,3
247,3,Unnamed,1878,August,"August,1878",120,34,,1,23-Oct,Deleware,3
255,3,Unnamed,1878,October,"October,1878",120,34,,1,23-Oct,Deleware,3
263,3,Unnamed,1878,October,"October,1878",120,1,,1,23-Oct,Deleware,3
1188,,Unnamed,1903,,,,,,1,16-Sep,Deleware,1
15,3,Unnamed,1852,September,"September,1852",115,,,1,26-Aug,Florida,3
16,3,Unnamed,1852,September,"September,1852",115,,,1,12-Sep,Florida,3
17,3,Unnamed,1852,September,"September,1852",115,,,2,9-Oct,Florida,3
26,3,Unnamed,1854,June,"June,1854",125,,,1,8-Sep,Florida,3
41,3,Unnamed,1856,September,"September,1856",125,,,2,31-Aug,Florida,3
71,3,Unnamed,1859,October,"October,1859",115,,,1,16-Sep,Florida,3
72,3,Unnamed,1859,October,"October,1859",115,,,1,28-Oct,Florida,3
90,3,Unnamed,1861,September,"September,1861",115,46,,1,16-Aug,Florida,3
93,3,Unnamed,1861,November,"November,1861",125,9,,1,16-Aug,Florida,3
96,3,Unnamed,1861,September,"September,1861",125,1,,1,16-Aug,Florida,3
99,3,Unnamed,1861,August,"August,1861",115,,,1,16-Aug,Florida,3
127,3,Unnamed,1867,August,"August,1867",125,12,,1,6-Oct,Florida,3
131,3,Unnamed,1867,June,"June,1867",120,,,1,6-Oct,Florida,3
160,3,Unnamed,1870,July,"July,1870",120,10,,1,9-Oct,Florida,3
161,3,Unnamed,1870,July,"July,1870",120,10,,1,20-Oct,Florida,3
168,3,Unnamed,1871,October,"October,1871",120,200,,3,16-Aug,Florida,3
169,3,Unnamed,1871,October,"October,1871",120,200,,2,25-Aug,Florida,3
170,3,Unnamed,1871,October,"October,1871",120,200,,1,6-Sep,Florida,3
171,3,Unnamed,1871,September,"September,1871",120,28,,3,16-Aug,Florida,3
172,3,Unnamed,1871,September,"September,1871",120,28,,2,25-Aug,Florida,3
173,3,Unnamed,1871,September,"September,1871",120,28,,1,6-Sep,Florida,3
174,3,Unnamed,1871,September,"September,1871",115,1,,3,16-Aug,Florida,3
175,3,Unnamed,1871,September,"September,1871",115,1,,2,25-Aug,Florida,3
176,3,Unnamed,1871,September,"September,1871",115,1,,1,6-Sep,Florida,3
188,3,Unnamed,1873,September,"September,1873",115,17,,3,7-Oct,Florida,3
189,3,Unnamed,1873,September,"September,1873",115,17,,1,19-Sep,Florida,3
196,3,Unnamed,1874,August,"August,1874",120,149,,1,28-Sep,Florida,3
199,3,Unnamed,1874,September,"September,1874",120,5,,1,28-Sep,Florida,3
202,3,Unnamed,1874,August,"August,1874",120,,,1,28-Sep,Florida,3
216,3,Unnamed,1876,September,"September,1876",115,41,,2,20-Oct,Florida,3
223,3,Unnamed,1877,September,"September,1877",120,4000,,1,19-Sep,Florida,3
224,3,Unnamed,1877,September,"September,1877",120,4000,,3,3-Oct,Florida,3
227,3,Unnamed,1877,September,"September,1877",120,400,,1,19-Sep,Florida,3
228,3,Unnamed,1877,September,"September,1877",120,400,,3,3-Oct,Florida,3
240,3,Unnamed,1878,August,"August,1878",115,200,,2,10-Sep,Florida,3
248,3,Unnamed,1878,August,"August,1878",120,34,,2,10-Sep,Florida,3
256,3,Unnamed,1878,October,"October,1878",120,34,,2,10-Sep,Florida,3
264,3,Unnamed,1878,October,"October,1878",120,1,,2,10-Sep,Florida,3
300,3,Unnamed,1880,August,"August,1880",120,34,,2,29-Aug,Florida,3
301,3,Unnamed,1880,August,"August,1880",120,34,,1,8-Oct,Florida,3
304,3,Unnamed,1880,October,"October,1880",120,2,,2,29-Aug,Florida,3
305,3,Unnamed,1880,October,"October,1880",120,2,,1,8-Oct,Florida,3
308,3,Unnamed,1880,September,"September,1880",120,,,2,29-Aug,Florida,3
309,3,Unnamed,1880,September,"September,1880",120,,,1,8-Oct,Florida,3
312,3,Unnamed,1880,October,"October,1880",120,,,2,29-Aug,Florida,3
313,3,Unnamed,1880,October,"October,1880",120,,,1,8-Oct,Florida,3
316,3,Unnamed,1880,August,"August,1880",120,,,2,29-Aug,Florida,3
317,3,Unnamed,1880,August,"August,1880",120,,,1,8-Oct,Florida,3
335,3,Unnamed,1882,August,"August,1882",125,175,,3,10-Sep,Florida,3
336,3,Unnamed,1882,August,"August,1882",125,175,,1,11-Oct,Florida,3
338,3,Unnamed,1882,September,"September,1882",125,,,3,10-Sep,Florida,3
339,3,Unnamed,1882,September,"September,1882",125,,,1,11-Oct,Florida,3
360,3,Unnamed,1885,September,"September,1885",120,10,,1,24-Aug,Florida,3
364,3,Unnamed,1885,September,"September,1885",115,8,,1,24-Aug,Florida,3
368,3,Unnamed,1885,September,"September,1885",125,7,,1,24-Aug,Florida,3
372,3,Unnamed,1885,September,"September,1885",120,,,1,24-Aug,Florida,3
376,3,Unnamed,1885,August,"August,1885",125,,,1,24-Aug,Florida,3
383,3,Unnamed,1886,July,"July,1886",120,,,2,21-Jun,Florida,3
384,3,Unnamed,1886,July,"July,1886",120,,,2,30-Jun,Florida,3
385,3,Unnamed,1886,July,"July,1886",120,,,1,18-Jul,Florida,3
407,3,Unnamed,1887,September,"September,1887",120,216,,1,27-Jul,Florida,3
411,3,Unnamed,1887,October,"October,1887",115,3,,1,27-Jul,Florida,3
420,3,Unnamed,1888,June,"June,1888",125,,,3,16-Aug,Florida,3
421,3,Unnamed,1888,June,"June,1888",125,,,2,11-Oct,Florida,3
460,4,Unnamed,1894,,",1894",,,,2,25-Sep,Florida,4
461,4,Unnamed,1894,,",1894",,,,3,9-Oct,Florida,4
536,4,Unnamed,1910,,",1910",,,,2,18-Oct,Florida,4
612,4,Unnamed,1926,,",1926",,,,2,27-Jul,Florida,4
613,4,Unnamed,1926,,",1926",,,,4,18-Sep,Florida,4
614,4,Unnamed,1926,,",1926",,,,1,21-Oct,Florida,4
636,4,Unnamed,1929,,",1929",,,,3,28-Sep,Florida,4
649,4,Unnamed,1932,,",1932",,,,1,1-Sep,Florida,4
714,4,Unnamed,1945,,",1945",,,,1,24-Jun,Florida,4
715,4,Unnamed,1945,,",1945",,,,3,15-Sep,Florida,4
725,4,Unnamed,1948,,",1948",,,,4,21-Sep,Florida,4
726,4,Unnamed,1948,,",1948",,,,2,5-Oct,Florida,4
732,4,Unnamed,1949,,",1949",,,,4,26-Aug,Florida,4
750,1,Hazel,1953,October,"October,1953",85,0,"$250,000.00 ",1,9-Oct,Florida,1
767,1,Flossy,1956,September,"September,1956",90,15,"$24,900,000.00 ",1,24-Sep,Florida,1
793,4,Donna,1960,September,"September,1960",,,,4,10-Sep,Florida,4
816,4,Cleo,1964,August,"August,1964",,,,2,27-Aug,Florida,4
817,4,Dora,1964,September,"September,1964",,,,2,10-Sep,Florida,4
822,4,Betsy,1965,September,"September,1965",,,,3,8-Sep,Florida,4
831,5,Inez,1966,September,"September,1966",165,756,,2,8-Oct,Florida,5
844,1,Gladys,1968,October,"October,1968",85,11,"$18,700,000.00 ",2,19-Oct,Florida,1
878,1,Agnes,1972,June,"June,1972",90,128,"$2,100,000,000.00 ",1,19-Jun,Florida,1
915,5,David,1979,August,"August,1979",175,2068,,2,3-Sep,Florida,5
948,1,Floyd,1987,October,"October,1987",75,1,"$500,000.00 ",1,12-Oct,Florida,1
965,5,Andrew,1992,August,"August,1992",175,61,"$54,270,000,000.00 ",5,24-Aug,Florida,5
973,4,Opal,1995,October,"October,1995",,27,"$8,674,700,000.00 ",3,4-Oct,Florida,4
985,4,Georges,1998,September,"September,1998",,16,"$10,353,200,000.00 ",2,25-Sep,Florida,4
1013,5,Ivan,2004,September,"September,2004",165,57,"$30,545,800,000.00 ",3,16-Sep,Florida,3
1014,4,Frances,2004,September,"September,2004",,48,"$14,601,900,000.00 ",2,5-Sep,Florida,4
1015,4,Charley,2004,August,"August,2004",,35,"$2,399,300,000.00 ",4,13-Aug,Florida,4
1021,5,Katrina,2005,August,"August,2005",175,1833,"$180,042,400,000.00 ",1,25-Aug,Florida,5
1024,5,Wilma,2005,October,"October,2005",185,35,"$26,980,000,000.00 ",3,24-Oct,Florida,3
1025,5,Rita,2005,September,"September,2005",180,119,"$26,455,100,000.00 ",1,20-Sep,Florida,5
1030,4,Dennis,2005,July,"July,2005",,15,"$3,617,800,000.00 ",3,10-Jul,Florida,4
1075,5,Matthew,2016,October,"October,2016",165,49,"$11,700,000,000.00 ",2,7-Oct,Florida,5
1081,1,Hermine,2016,August,"August,2016",80,5,,1,2-Sep,Florida,1
1084,5,Irma,2017,September,"September,2017",180,97,"$57,500,000,000.00 ",4,10-Sep,Florida,4
1089,5,Michael,2018,October,"October,2018",160,49,"$27,972,000,000.00 ",5,10-Oct,Florida,5
1118,,Unnamed,1893,,,,,,1,27-Aug,Florida,1
1134,,Unnamed,1906,,,,,,1,16-Jun,Florida,1
1135,,Unnamed,1906,,,,,,2,27-Sep,Florida,2
1136,,Unnamed,1906,,,,,,3,18-Oct,Florida,3
1142,,Unnamed,1912,,,,,,1,14-Sep,Florida,1
1146,,Unnamed,1916,,,,,,2,5-Jul,Florida,2
1147,,Unnamed,1916,,,,,,2,18-Oct,Florida,2
1152,,Unnamed,1917,,,,,,3,29-Sep,Florida,3
1156,,Eloise,1975,,,,,,3,23-Sep,Florida,3
1158,,Elena,1985,,,,,,3,1-Sep,Florida,3
1161,,Sally,2020,,,,,,2,16-Sep,Florida,2
1171,,Unnamed,1944,,,,,,4,19-Oct,Florida,4
1189,,Unnamed,1903,,,,,,1,11-Aug,Florida,1
1191,,Unnamed,1851,,,,,,3,23-Aug,Florida,3
1194,,Unnamed,1865,,,,,,2,23-Oct,Florida,2
1197,,Unnamed,1891,,,,,,1,24-Aug,Florida,1
1199,,Unnamed,1896,,,,,,2,7-Jul,Florida,2
1200,,Unnamed,1896,,,,,,3,29-Sep,Florida,3
1207,,Unnamed,1898,,,,,,1,3-Aug,Florida,1
1208,,Unnamed,1898,,,,,,2,2-Oct,Florida,2
1212,,Unnamed,1899,,,,,,2,1-Aug,Florida,2
1216,,Unnamed,1900,,,,,,4,27-Aug,Florida,4
1218,,Unnamed,1904,,,,,,1,17-Oct,Florida,1
1220,,Unnamed,1909,,,,,,3,11-Oct,Florida,3
1226,,Unnamed,1911,,,,,,1,11-Aug,Florida,1
1229,,Unnamed,1915,,,,,,1,1-Aug,Florida,1
1230,,Unnamed,1915,,,,,,1,4-Sep,Florida,1
1235,,Unnamed,1919,,,,,,4,10-Sep,Florida,4
1237,,Unnamed,1921,,,,,,3,25-Oct,Florida,3
1239,,Unnamed,1924,,,,,,1,15-Sep,Florida,1
1240,,Unnamed,1924,,,,,,1,21-Oct,Florida,1
1243,,Unnamed,1928,,,,,,2,8-Aug,Florida,2
1244,,Unnamed,1928,,,,,,4,17-Sep,Florida,4
1247,,Unnamed,1933,,,,,,1,30-Jul,Florida,1
1248,,Unnamed,1933,,,,,,3,4-Sep,Florida,3
1255,,Unnamed,1935,,,,,,5,3-Sep,Florida,5
1256,,Unnamed,1935,,,,,,2,4-Nov,Florida,2
1257,,Unnamed,1936,,,,,,2,31-Jul,Florida,2
1261,,Unnamed,1939,,,,,,1,11-Aug,Florida,1
1262,,Unnamed,1941,,,,,,2,6-Oct,Florida,2
1264,,Unnamed,1946,,,,,,1,8-Oct,Florida,1
1265,,Unnamed,1947,,,,,,4,17-Sep,Florida,4
1266,,Unnamed,1947,,,,,,1,11-Oct,Florida,1
1272,,Easy,1950,,,,,,3,5-Sep,Florida,3
1273,,King,1950,,,,,,4,18-Oct,Florida,4
1274,,Florence,1953,,,,,,1,26-Sep,Florida,1
1275,,Isbell,1964,,,,,,2,14-Oct,Florida,2
1276,,Alma,1966,,,,,,3,9-Jun,Florida,3
1277,,Kate,1985,,,,,,2,21-Nov,Florida,2
1279,,Erin,1995,,,,,,2,3-Aug,Florida,2
1280,,Earl,1998,,,,,,1,3-Sep,Florida,1
1281,,Irene,1999,,,,,,1,15-Oct,Florida,1
1283,,Jeanne,2004,,,,,,3,26-Sep,Florida,3
18,3,Unnamed,1852,September,"September,1852",115,,,1,10-Oct,Georgia,3
27,3,Unnamed,1854,June,"June,1854",125,,,3,8-Sep,Georgia,3
42,3,Unnamed,1856,September,"September,1856",125,,,1,31-Aug,Georgia,3
225,3,Unnamed,1877,September,"September,1877",120,4000,,1,3-Oct,Georgia,3
229,3,Unnamed,1877,September,"September,1877",120,400,,1,3-Oct,Georgia,3
241,3,Unnamed,1878,August,"August,1878",115,200,,1,11-Sep,Georgia,3
249,3,Unnamed,1878,August,"August,1878",120,34,,1,11-Sep,Georgia,3
257,3,Unnamed,1878,October,"October,1878",120,34,,1,11-Sep,Georgia,3
265,3,Unnamed,1878,October,"October,1878",120,1,,1,11-Sep,Georgia,3
324,3,Unnamed,1881,August,"August,1881",120,55,,2,28-Aug,Georgia,3
327,3,Unnamed,1881,August,"August,1881",115,25,,2,28-Aug,Georgia,3
361,3,Unnamed,1885,September,"September,1885",120,10,,1,25-Aug,Georgia,3
365,3,Unnamed,1885,September,"September,1885",115,8,,1,25-Aug,Georgia,3
369,3,Unnamed,1885,September,"September,1885",125,7,,1,25-Aug,Georgia,3
373,3,Unnamed,1885,September,"September,1885",120,,,1,25-Aug,Georgia,3
377,3,Unnamed,1885,August,"August,1885",125,,,1,25-Aug,Georgia,3
386,3,Unnamed,1886,July,"July,1886",120,,,1,21-Jun,Georgia,3
387,3,Unnamed,1886,July,"July,1886",120,,,1,30-Jun,Georgia,3
462,4,Unnamed,1894,,",1894",,,,1,9-Oct,Georgia,4
733,4,Unnamed,1949,,",1949",,,,1,27-Aug,Georgia,4
916,5,David,1979,August,"August,1979",175,2068,,2,4-Sep,Georgia,5
1076,5,Matthew,2016,October,"October,2016",165,49,"$11,700,000,000.00 ",1,8-Oct,Georgia,5
1090,5,Michael,2018,October,"October,2018",160,49,"$27,972,000,000.00 ",2,10-Oct,Georgia,5
1119,,Unnamed,1893,,,,,,3,28-Aug,Georgia,3
1192,,Unnamed,1851,,,,,,1,24-Aug,Georgia,1
1201,,Unnamed,1896,,,,,,2,29-Sep,Georgia,2
1209,,Unnamed,1898,,,,,,1,31-Aug,Georgia,1
1210,,Unnamed,1898,,,,,,4,2-Oct,Georgia,4
1227,,Unnamed,1911,,,,,,1,28-Aug,Georgia,1
1245,,Unnamed,1928,,,,,,1,18-Sep,Georgia,1
1267,,Unnamed,1947,,,,,,2,15-Oct,Georgia,2
1278,,Kate,1985,,,,,,1,22-Nov,Georgia,1
1284,,Unnamed,1853,,,,,,1,21-Oct,Georgia,1
1285,,"""Labor Day""",1935,,,,,,1,5-Sep,Georgia,1
1286,,Unnamed,1940,,,,,,1,11-Aug,Georgia,1
19,3,Unnamed,1852,September,"September,1852",115,,,2,25-Aug,Louisiana,3
43,3,Unnamed,1856,September,"September,1856",125,,,4,11-Aug,Louisiana,3
77,3,Unnamed,1860,September,"September,1860",115,84,,3,11-Aug,Louisiana,3
78,3,Unnamed,1860,September,"September,1860",115,84,,2,15-Sep,Louisiana,3
79,3,Unnamed,1860,September,"September,1860",115,84,,2,2-Oct,Louisiana,3
128,3,Unnamed,1867,August,"August,1867",125,12,,2,4-Oct,Louisiana,3
132,3,Unnamed,1867,June,"June,1867",120,,,2,4-Oct,Louisiana,3
138,3,Unnamed,1869,September,"September,1869",125,921,,1,5-Sep,Louisiana,3
226,3,Unnamed,1877,September,"September,1877",120,4000,,1,18-Sep,Louisiana,3
230,3,Unnamed,1877,September,"September,1877",120,400,,1,18-Sep,Louisiana,3
275,3,Unnamed,1879,August,"August,1879",120,26,,2,23-Aug,Louisiana,3
276,3,Unnamed,1879,August,"August,1879",120,26,,3,1-Sep,Louisiana,3
281,3,Unnamed,1879,October,"October,1879",120,,,2,23-Aug,Louisiana,3
282,3,Unnamed,1879,October,"October,1879",120,,,3,1-Sep,Louisiana,3
388,3,Unnamed,1886,July,"July,1886",120,,,2,14-Jun,Louisiana,3
389,3,Unnamed,1886,July,"July,1886",120,,,3,12-Oct,Louisiana,3
408,3,Unnamed,1887,September,"September,1887",120,216,,1,19-Oct,Louisiana,3
412,3,Unnamed,1887,October,"October,1887",115,3,,1,19-Oct,Louisiana,3
422,3,Unnamed,1888,June,"June,1888",125,,,2,19-Aug,Louisiana,3
615,4,Unnamed,1926,,",1926",,,,3,26-Aug,Louisiana,4
727,4,Unnamed,1948,,",1948",,,,1,4-Sep,Louisiana,4
768,1,Flossy,1956,September,"September,1956",90,15,"$24,900,000.00 ",2,24-Sep,Louisiana,1
819,4,Hilda,1964,October,"October,1964",,,,2,3-Oct,Louisiana,4
823,4,Betsy,1965,September,"September,1965",,,,4,10-Sep,Louisiana,4
857,5,Camille,1969,August,"August,1969",175,259,,5,17-Aug,Louisiana,5
876,5,Edith,1971,September,"September,1971",160,37,,2,16-Sep,Louisiana,5
890,4,Carmen,1974,September,"September,1974",,,,3,8-Sep,Louisiana,4
898,1,Babe,1977,September,"September,1977",75,0,"$13,000,000.00 ",1,5-Sep,Louisiana,1
914,1,Bob,1979,July,"July,1979",75,1,"$20,000,000.00 ",1,11-Sep,Louisiana,1
936,1,Juan,1985,October,"October,1985",85,63,"$3,906,500,000.00 ",1,28-Oct,Louisiana,1
942,1,Danny,1985,August,"August,1985",90,5,"$100,000,000.00 ",1,15-Aug,Louisiana,1
950,1,Florence,1988,September,"September,1988",80,1,"$2,900,000.00 ",1,10-Sep,Louisiana,1
966,5,Andrew,1992,August,"August,1992",175,61,"$54,270,000,000.00 ",3,26-Aug,Louisiana,3
983,1,Danny,1997,July,"July,1997",80,9,"$100,000,000.00 ",1,18-Jul,Louisiana,1
1005,4,Lili,2002,October,"October,2002",,2,"$1,734,100,000.00 ",1,3-Oct,Louisiana,4
1022,5,Katrina,2005,August,"August,2005",175,1833,"$180,042,400,000.00 ",3,29-Aug,Louisiana,3
1026,5,Rita,2005,September,"September,2005",180,119,"$26,455,100,000.00 ",3,24-Sep,Louisiana,3
1031,1,Cindy,2005,July,"July,2005",75,3,"$320,000,000.00 ",1,6-Jul,Louisiana,1
1043,1,Humberto,2007,September,"September,2007",90,1,"$50,000,000.00 ",1,13-Sep,Louisiana,1
1049,4,Gustav,2008,August,"August,2008",,53,"$7,736,100,000.00 ",2,1-Sep,Louisiana,4
1062,1,Isaac,2012,August,"August,2012",80,9,"$3,399,100,000.00 ",1,28-Aug,Louisiana,1
1086,1,Nate,2017,October,"October,2017",90,48,,1,7-Oct,Louisiana,1
1096,1,Barry,2019,July,"July,2019",75,1,,1,13-Jul,Louisiana,1
1099,4,Laura,2020,August,"August,2020",,42,"$25,304,500,000.00 ",4,27-Aug,Louisiana,4
1103,4,Delta,2020,October,"October,2020",,5,"$3,125,300,000.00 ",2,9-Oct,Louisiana,4
1111,4,Ida,2021,August,"August,2021",105,96,#REF!,4,29-Aug,Louisiana,4
1120,,Unnamed,1893,,,,,,2,7-Sep,Louisiana,2
1121,,Unnamed,1893,,,,,,4,2-Oct,Louisiana,4
1130,,Unnamed,1901,,,,,,1,14-Aug,Louisiana,1
1137,,Unnamed,1906,,,,,,1,27-Sep,Louisiana,1
1153,,Unnamed,1917,,,,,,2,29-Sep,Louisiana,2
1163,,Zeta,2020,,,,,,3,28-Oct,Louisiana,3
1166,,Unnamed,1938,,,,,,1,15-Aug,Louisiana,1
1195,,Unnamed,1865,,,,,,2,13-Sep,Louisiana,2
1221,,Unnamed,1909,,,,,,3,20-Sep,Louisiana,3
1231,,Unnamed,1915,,,,,,1,17-Aug,Louisiana,1
1232,,Unnamed,1915,,,,,,3,29-Sep,Louisiana,3
1268,,Unnamed,1947,,,,,,2,19-Sep,Louisiana,2
1287,,Unnamed,1940,,,,,,2,7-Aug,Louisiana,2
1290,,Unnamed,1855,,,,,,3,16-Sep,Louisiana,3
1292,,Unnamed,1889,,,,,,1,23-Sep,Louisiana,1
1293,,Unnamed,1897,,,,,,1,12-Sep,Louisiana,1
1295,,Unnamed,1918,,,,,,3,7-Aug,Louisiana,3
1298,,Unnamed,1920,,,,,,2,21-Sep,Louisiana,2
1299,,Unnamed,1923,,,,,,1,16-Oct,Louisiana,1
1301,,Unnamed,1934,,,,,,2,16-Jun,Louisiana,2
1306,,Audrey,1957,,,,,,3,27-Jun,Louisiana,3
1308,,Ethel,1964,,,,,,1,15-Sep,Louisiana,1
139,3,Unnamed,1869,September,"September,1869",125,921,,2,4-Oct,Maine,3
938,4,Gloria,1985,September,"September,1985",,11,"$2,242,900,000.00 ",1,27-Sep,Maine,4
242,3,Unnamed,1878,August,"August,1878",115,200,,1,23-Oct,Maryland,3
250,3,Unnamed,1878,August,"August,1878",120,34,,1,23-Oct,Maryland,3
258,3,Unnamed,1878,October,"October,1878",120,34,,1,23-Oct,Maryland,3
266,3,Unnamed,1878,October,"October,1878",120,1,,1,23-Oct,Maryland,3
1249,,Unnamed,1933,,,,,,1,23-Aug,Maryland,1
59,3,Unnamed,1858,June,"June,1858",115,,,1,16-Sep,Massachusetts,3
140,3,Unnamed,1869,September,"September,1869",125,921,,3,8-Sep,Massachusetts,3
141,3,Unnamed,1869,September,"September,1869",125,921,,1,4-Oct,Massachusetts,3
277,3,Unnamed,1879,August,"August,1879",120,26,,1,19-Aug,Massachusetts,3
